URL,Author,Source,Lieu,Title,Content,MainPIC,Date,Year
https://www.wedemain.fr/Mieux-que-la-vaisselle-en-carton-voici-celle-en-banane_a3358.html,Sofia Colla,WeDemain,,"Mieux que la vaisselle en carton, voici celle en banane","Deux entrepreneurs remplacent le plastique par de la fibre de banane, de canne à sucre ou même des feuilles de palmier. Avec cette matière première, ils fabriquent des tissus et toute une gamme de vaisselle jetable, recyclable et compostable. D’ici 2020, la vaisselle jetable en plastique - tels que les gobelets ou les assiettes - sera interdite en France. C’est pourquoi il est urgent de trouver des alternatives. L'entrepreneur Jayesh Vir a inventé une gamme de produits durables à usage quotidien à partir de résidus agricoles. D’origine indienne, il a eu cette idée en se rendant compte que dans son pays,",https://www.wedemain.fr/photo/art/imagette/22857779-25378708.jpg,08/06/2018,2018
https://www.wedemain.fr/Cette-coque-d-iPhone-peut-detecter-si-vous-portez-une-arme_a3356.html,Claire Commissaire,WeDemain,,Cette coque d'iPhone peut détecter si vous portez une arme,"Baptisée """"Sword"""", cette coque de téléphone portable est capable de scanner et détecter à plusieurs mètres de distance si un individu porte une arme. Les coques d’iPhone, vous en connaissez plusieurs : il y a celle rigolote en forme de licorne, celle dans laquelle vous pouvez glisser votre carte de crédit, celle qui recharge votre téléphone… Et si demain, elle pouvait détecter les individus portant une arme ? C’est tout l’objectif d’un projet baptisé Sword, lancé par la start-up Royal Holdings. ",https://www.wedemain.fr/photo/art/imagette/22857474-25378417.jpg,08/06/2018,2018
https://www.wedemain.fr/Une-bibliotheque-dont-vous-ne-lirez-jamais-les-livres-ou-pas-avant-2114_a3357.html,Séverine Mermilliod,WeDemain,Oslo,Une bibliothèque dont vous ne lirez jamais les livres... ou pas avant 2114,"En Norvège près d’Oslo sont conservés des manuscrits d'auteurs que leurs fans ne liront jamais : ils ne seront sortis de la bibliothèque qui les abrite qu’en 2114. La romancière turque Elif Shafak a confié le sien à la """"Future Library"""" le 2 juin 2018. Début juin, la romancière turque Elif Shafak a apporté en Norvège le manuscrit qu’elle a fini de rédiger, l’a déposé dans une boîte qu'elle a refermée et l’a soumis au jugement des générations futures. Le texte va en effet rester secret jusqu’en 2114. Son œuvre suit celles déjà déposées par trois écrivains depuis 2014 et fait partie des cent qui formeront à terme la",https://www.wedemain.fr/photo/art/imagette/22857645-25378567.jpg,08/06/2018,2018
https://www.wedemain.fr/Il-a-ranime-un-village-breton-de-200-habitants-le-Cafe-Chantier-joue-son-avenir_a3353.html,Claire Commissaire,WeDemain,Bretagne,"Il a ranimé un village breton de 200 habitants : le ""Café-Chantier"" joue son avenir","Il n'y avait plus grand chose dans la petite commune finistérienne de Saint-Eloy, avant que des habitants y créent un bistrot associatif : vente de produits locaux, expos, concerts... Une campagne de financement participatif décidera de l'avenir du Café-Chantier. C’est l’histoire d’un petit village, comme il en existe tant d’autres en France. Saint-Eloy, dans le Finistère : une commune d'un peu plus de 220 âmes – près de deux fois moins qu’il y a 100 ans –, qui se partagent 12 km2. Ces vingt dernières années, on s’ennuyait un peu à Saint-Eloy : plus de café, ni de commerce, ni même d’école, et on ne se parlait plus trop en.",https://www.wedemain.fr/photo/art/imagette/22832122-25363869.jpg,07/06/2018,2018
https://www.wedemain.fr/Bertrand-Piccard-La-protection-de-notre-planete-coute-cher-Je-veux-demontrer-le-contraire_a3349.html,Jean-Jacques Valette,WeDemain,Paris,"Bertrand Piccard : ""La protection de notre planète coûte cher ? Je veux démontrer le contraire""","Présent lors du salon Viva Technology, l'explorateur suisse et pilote de l'avion électrique Solar Impulse fait le point pour We Demain sur l'avancement de son """"Alliance mondiale pour des solutions efficientes"""". Son objectif : accélérer la transition écologique en gagnant le soutien de l'industrie. Entretien. Vous annonciez en septembre dernier, dans le numéro 19 de la",https://www.wedemain.fr/photo/art/imagette/22806159-25347793.jpg,07/06/2018,2018
https://www.wedemain.fr/La-loi-anti-fake-news-risque-d-etre-inutile-voire-dangereuse_a3350.html,Gérard Leclerc,WeDemain,Paris,"La loi anti-fake news risque d’être inutile, voire dangereuse","L’Assemblée nationale débat ce jeudi 7 juin de deux propositions de loi du groupe La République en marche pour lutter contre """"la manipulation de l’information"""". L’opposition, à droite comme à gauche, s'y oppose avec de solides arguments. Personne ne peut nier la réalité de cette nouvelle menace pour la démocratie. Sur fond de complotisme, des fausses informations qui circulent sur le net et les réseaux sociaux peuvent changer le résultat d’une élection, même si cela est toujours difficile à prouver. Les attaques qui se sont révélées après coup mensongères contre Hillary Clinton, et qui étaient semble-t-il téléguidées par la Russie, ont pu jouer un r...",https://www.wedemain.fr/photo/art/imagette/22828368-25360558.jpg,07/06/2018,2018
https://www.wedemain.fr/A-Paris-il-tient-une-maison-close-et-un-coffee-shop-en-toute-legalite_a3348.html,Sofia Colla,WeDemain,Paris,"À Paris, il tient une maison close et un coffee shop en toute légalité"," Après avoir créé cinq entreprises à seulement 28 ans, dont la première """"maison close"""" de poupées sexuelles en France, Joaquim Lousquy ouvre un nouveau commerce. On y trouve du CBD, un cannabis au taux de THC très peu élevé. On pourrait le surnommer l’homme qui veut dépraver les Parisiens. Après avoir ouvert la """"maison close"""" de poupées sexuelles Xdolls au début de l’année, Joaquim Lousquy inaugure le 6 juin sa boutique """"Cofyshop """", spécialisée dans la vente de cannabis au CBD (ou cannabidiol). Ce n’est pas le premier du gen...",https://www.wedemain.fr/photo/art/imagette/22801735-25345047.jpg,06/06/2018,2018
https://www.wedemain.fr/Cyril-Dion-Apres-le-film-Demain-des-gens-ont-change-de-vie_a3345.html,Claire Gollot,WeDemain,,"Cyril Dion : “Après le film Demain, des gens ont changé de vie”","À l’occasion de la publication de son “Petit manuel de résistance contemporaine” chez Actes Sud, """"We Demain"""" s’est entretenu avec le réalisateur, écrivain et romancier Cyril Dion sur les lendemains de son docu “Demain” et sur les stratégies à mettre en place pour faire face au réchauffement planétaire. Rencontre.  ",https://www.wedemain.fr/photo/art/imagette/22773054-25326408.jpg,06/06/2018,2018
https://www.wedemain.fr/A-La-Rochelle-un-laboratoire-de-l-economie-circulaire_a3344.html,Sofia Colla,WeDemain,La Rochelle,"À La Rochelle, un laboratoire de l’économie circulaire ","En Charente Maritime, La Matière travaille avec des artisans locaux et les déchèteries de la région pour récupérer les matériaux destinés à être jetés et les transformer en objet et en mobilier design.",https://www.wedemain.fr/photo/art/imagette/22770003-25324397.jpg,06/06/2018,2018
https://www.wedemain.fr/No-Plastic-Challenge-10-jours-pour-changer-ses-habitudes_a3341.html,Séverine Mermilliod,WeDemain,,No Plastic Challenge : 10 jours pour changer ses habitudes,"Après la journée mondiale de l’environnement et en prévision de celle de l'océan le 8 juin, les défis anti-plastique se multiplient sur les réseaux sociaux... mais aussi dans la réalité. Cette semaine et jusqu’au 14 juin, vous pouvez participer au #NoPlasticChallenge pour réduire votre impact plastique.",https://www.wedemain.fr/photo/art/imagette/22738565-25306655.jpg,06/06/2018,2018
